"시설번호","대피시설명","지번주소","도로명주소","대피시설 구분","평시활용 유형","대피시설 면적","대피시설 인원수","개방여부","데이터기준일자","제공기관명","제공기관코드","경도","위도","X좌표","Y좌표"
"367","한국전력강서양천지사","서울특별시 양천구 신정동 319-1","서울특별시 양천구 목동서로 313 (신정동 한국전력강서지점)","공공용","기타","950","1151","Y","2021-05-20","서울특별시 양천구","3140000","126.868758","37.520086","188397.974522","546741.510016"
"368","출입국관리사무소","서울특별시 양천구 신정동 319-2","서울특별시 양천구 목동동로 151 (신정동 서울출입국관리사무소)","공공용","기타","984","1192","Y","2021-05-20","서울특별시 양천구","3140000","126.869624","37.519247","188474.401443","546648.285070"
"369","평광교회","서울특별시 양천구 목동 909-2","서울특별시 양천구 목동서로 13 (목동)","공공용","주차장","1272","1541","Y","2021-05-20","서울특별시 양천구","3140000","126.884365","37.538217","189780.100155","548752.016732"
"370","화성프라자","서울특별시 양천구 목동 909-5","서울특별시 양천구 목동동로 435 (목동)","공공용","주차장","489","592","Y","2021-05-20","서울특별시 양천구","3140000","126.884848","37.537386","189822.710303","548659.733438"
"371","신월프라자","서울특별시 양천구 신월동 128","서울특별시 양천구 곰달래로5길 17 (신월동 신월프라자)","공공용","주차장","7200","8727","Y","2021-05-20","서울특별시 양천구","3140000","126.833603","37.531110","185292.372648","547970.003944"
"372","신월1동주민센터","서울특별시 양천구 신월동 135-18","서울특별시 양천구 곰달래로1길 38 (신월동 신월1동주민센터)","공공용","주차장","263","318","Y","2021-05-20","서울특별시 양천구","3140000","126.831527","37.532803","185109.196234","548158.182982"
"373","보성아파트","서울특별시 양천구 신월동 465-5","서울특별시 양천구 오목로13길 33 (신월동 신월보성아파트)","공공용","주차장","1207","1463","Y","2021-05-20","서울특별시 양천구","3140000","126.844525","37.525881","186256.796114","547387.947513"
"374","우당아파트","서울특별시 양천구 신월동 506-1","서울특별시 양천구 오목로 90 (신월동)","공공용","주차장","3894","4720","Y","2021-05-20","서울특별시 양천구","3140000","126.847848","37.523044","186550.005708","547072.595399"
"375","신월4동주민센터","서울특별시 양천구 신월동 425-2","서울특별시 양천구 오목로5길 34 (신월동)","공공용","주차장","608","736","Y","2021-05-20","서울특별시 양천구","3140000","126.840078","37.524669","185863.474839","547254.089539"
"376","금용아파트","서울특별시 양천구 신월동 533-1","서울특별시 양천구 신월로17길 22 (신월동 금용아파트)","공공용","주차장","3758","4555","Y","2021-05-20","서울특별시 양천구","3140000","126.842411","37.520564","186068.940478","546798.137499"
"377","성은교회","서울특별시 양천구 신월동 64-2","서울특별시 양천구 화곡로 100 (신월동)","공공용","주차장","565","684","Y","2021-05-20","서울특별시 양천구","3140000","126.833176","37.539378","185256.258350","548887.668182"
"378","승원빌딩","서울특별시 양천구 신월동 992-3","서울특별시 양천구 지양로 22 (신월동 승원빌딩)","공공용","주차장","1124","1362","Y","2021-05-20","서울특별시 양천구","3140000","126.837444","37.518675","185629.489059","546589.229202"
"379","신월7동주민센터","서울특별시 양천구 신월동 962- 10","서울특별시 양천구 남부순환로70길 16-3 (신월동 신월7동주민센터)","공공용","주차장","165","200","Y","2021-05-20","서울특별시 양천구","3140000","126.834731","37.521892","185390.277585","546946.693986"
"380","신월시영아파트","서울특별시 양천구 신월동 987-1","서울특별시 양천구 신월로 99 (신월동 신월시영아파트)","공공용","주차장","10241","12413","Y","2021-05-20","서울특별시 양천구","3140000","126.835156","37.518456","185427.205757","546565.274844"
"381","현대프라자","서울특별시 양천구 신정동 1021-9","서울특별시 양천구 중앙로32길 61 (신정동)","공공용","주차장","2545","3084","Y","2021-05-20","서울특별시 양천구","3140000","126.860316","37.520083","187651.685859","546742.232796"
"382","신월3동주민센터","서울특별시 양천구 신월동 167- 5","서울특별시 양천구 남부순환로54길 5 (신월동)","공공용","주차장","200","242","Y","2021-05-20","서울특별시 양천구","3140000","126.829078","37.533630","184892.921415","548250.404821"
"383","오목교역","서울특별시 양천구 목동 406-30","서울특별시 양천구 오목로 지하 342 (목동 오목교역)","공공용","기타","12427","15063","Y","2021-05-20","서울특별시 양천구","3140000","126.875353","37.524451","188981.599903","547225.204329"
"384","목동역","서울특별시 양천구 목동 926-3","서울특별시 양천구 오목로 지하 245 (목동 목동역)","공공용","기타","7405","8975","Y","2021-05-20","서울특별시 양천구","3140000","126.864728","37.526178","188042.687497","547418.150829"
"385","방송회관","서울특별시 양천구 목동 923-5","서울특별시 양천구 목동동로 233 (목동 한국방송회관)","공공용","주차장","14778","17912","Y","2021-05-20","서울특별시 양천구","3140000","126.871381","37.526981","188630.898752","547506.405656"
"386","한국통신","서울특별시 양천구 목동 924","서울특별시 양천구 목동서로 201 (목동)","공공용","주차장","16129","19550","Y","2021-05-20","서울특별시 양천구","3140000","126.871104","37.529428","188606.785942","547778.069217"
"387","한국전파진흥협회","서울특별시 양천구 목동 124-1","서울특별시 양천구 목동중앙로13나길 3 (목동 한국전파진흥협회)","공공용","주차장","1113","1349","Y","2021-05-20","서울특별시 양천구","3140000","126.880614","37.546174","189449.741963","549635.612688"
"388","양천우체국","서울특별시 양천구 목동 905-16","서울특별시 양천구 목동서로 117 (목동 양천우체국)","공공용","주차장","4145","5024","Y","2021-05-20","서울특별시 양천구","3140000","126.876203","37.532864","189058.001361","548158.817472"
"389","양천도서관","서울특별시 양천구 목동 905","서울특별시 양천구 목동서로 113 (목동 양천도서관)","공공용","주차장","1024","1241","Y","2021-05-20","서울특별시 양천구","3140000","126.876229","37.533559","189060.401001","548236.004193"
"390","서울에너지공사","서울특별시 양천구 목동 900","서울특별시 양천구 목동서로 20 (목동)","공공용","기타","816","989","Y","2021-05-20","서울특별시 양천구","3140000","126.883763","37.540116","189727.191032","548962.848181"
"391","양정중고등학교","서울특별시 양천구 목동 911-2","서울특별시 양천구 안양천로 1039 (목동 양정중학교.양정고등학교)","공공용","주차장","1315","1593","Y","2021-05-20","서울특별시 양천구","3140000","126.887734","37.535392","190077.541326","548438.144212"
"392","이화여대부속목동병원","서울특별시 양천구 목동 911-1","서울특별시 양천구 안양천로 1071 (목동 이화여대목동병원)","공공용","기타","9705","11763","Y","2021-05-20","서울특별시 양천구","3140000","126.886746","37.536983","189990.404306","548614.803860"
"858","경향렉스빌아파트","서울특별시 동작구 상도동 445","서울특별시 동작구 양녕로23길 9","공공용","","10144","12295","Y","2021-05-31","서울특별시 동작구청","3190000","126.941731","37.495325","194847.198633","543986.804089"
"859","동광교회","서울특별시 동작구 상도동 190-8","서울특별시 동작구 성대로1길 26","공공용","","3233","3918","Y","2021-05-31","서울특별시 동작구청","3190000","126.934909","37.501851","194244.396997","544711.603988"
"860","도화 공영주차장","서울특별시 동작구 상도동 244-50","서울특별시 동작구 성대로17길 지하 52","공공용","","2138","2591","Y","2021-05-31","서울특별시 동작구청","3190000","126.935245","37.499808","194274.004241","544484.804684"
"861","삼익아파트","서울특별시 동작구 상도동 413","서울특별시 동작구 양녕로26나길 8","공공용","","1184","1435","Y","2021-05-31","서울특별시 동작구청","3190000","126.944561","37.497366","195097.600553","544213.203991"
"862","롯데캐슬비엔아파트","서울특별시 동작구 상도동 530-1","서울특별시 동작구 양녕로 170","공공용","","1184","1435","Y","2021-05-31","서울특별시 동작구청","3190000","126.943643","37.497001","195016.398915","544172.804099"
"863","우성1차아파트","서울특별시 동작구 신대방동 565","서울특별시 동작구 여의대방로 22","공공용","","6088","7379","Y","2021-05-31","서울특별시 동작구청","3190000","126.911642","37.491060","192185.998963","543515.604825"
"864","현대아파트","서울특별시 동작구 신대방동 707","서울특별시 동작구 여의대방로 28","공공용","","4899","5938","Y","2021-05-31","서울특별시 동작구청","3190000","126.911692","37.495273","192190.797527","543983.204262"
"865","사당삼익그린뷰아파트","서울특별시 동작구 사당동 1150","서울특별시 동작구 남부순환로255길 21","공공용","","6732","8160","Y","2021-05-31","서울특별시 동작구청","3190000","126.968892","37.477376","197248.396156","541993.604163"
"866","진흥아파트","서울특별시 동작구 사당동 1142","서울특별시 동작구 사당로16아길 43","공공용","","3743","4536","Y","2021-05-31","서울특별시 동작구청","3190000","126.969329","37.480562","197287.200292","542347.203802"
"867","사당휴먼시아아파트","서울특별시 동작구 사당동 1154","서울특별시 동작구 사당로16길 96","공공용","","13395","16236","Y","2021-05-31","서울특별시 동작구청","3190000","126.970139","37.479495","197358.797081","542228.804620"
"868","사당제5동주민센터","서울특별시 동작구 사당동 228-11","서울특별시 동작구 사당로2가길 219","공공용","","323","391","Y","2021-05-31","서울특별시 동작구청","3190000","126.966980","37.485661","197079.598178","542913.204264"
"869","사당자이아파트","서울특별시 동작구 사당동 1139","서울특별시 동작구 사당로2가길 102","공공용","","13777","16699","Y","2021-05-31","서울특별시 동작구청","3190000","126.963417","37.488373","196764.669999","543214.314285"
"870","남해오네뜨아파트","서울특별시 동작구 사당동 1143","서울특별시 동작구 사당로2가길 173","공공용","","4944","5992","Y","2021-05-31","서울특별시 동작구청","3190000","126.965527","37.487012","196951.199409","543063.204552"
"871","삼호그린아파트","서울특별시 동작구 사당동 1138","서울특별시 동작구 사당로2가길 188","공공용","","7647","9269","Y","2021-05-31","서울특별시 동작구청","3190000","126.965523","37.486443","196950.795970","543000.004372"
"872","장은해그린아파트","서울특별시 동작구 사당동 1145","서울특별시 동작구 사당로2길 40","공공용","","2983","3615","Y","2021-05-31","서울특별시 동작구청","3190000","126.963413","37.491917","196764.402968","543607.604556"
"873","상도역","서울특별시 동작구 상도1동 702-1","서울특별시 동작구 상도로 지하 272","공공용","","9240","11200","Y","2021-05-31","서울특별시 동작구청","3190000","126.947701","37.503209","195375.600095","544861.604604"
"874","숭실대학교한국기독교박물관","서울특별시 동작구 상도동 511","서울특별시 동작구 상도로 369","공공용","","5300","6424","Y","2021-05-31","서울특별시 동작구청","3190000","126.955160","37.496430","196034.796512","544108.804256"
