좌표정보(x),좌표정보(y),비상시설위치,시설명건물명
344927.8334,370456.1995,경상북도 영주시 하망동 344번지 34호,대구은행
345125.7481,369669.864,경상북도 영주시 휴천동 677번지,KT영주지사
345657.0132,370577.9119,경상북도 영주시 하망동 276번지 23호,코오롱2차아파트 보일러실
344866.7374,368384.0006,경상북도 영주시 휴천동 470번지,영주시청 대피소
345499.7726,369763.1124,경상북도 영주시 휴천동 168번지,현대동산아파트
343993.2473,368270.6619,경상북도 영주시 휴천동 630번지,경북전문대 학생군사교육단
345050,368494,경상북도 영주시 휴천동 21번지 9호,한국철도공사 경북본부
343657.8879,370674.3998,경상북도 영주시 가흥동 1488번지,가흥동 3주공아파트
343705.3174,368770.7147,경상북도 영주시 가흥동 1385번지,가흥주공아파트
345628.1347,371265.1432,경상북도 영주시 하망동 88번지 1동 지하주차장에 대피소가 위치함,영남동산아파트
344443.2331,369695.4953,경상북도 영주시 가흥동 1450번지 1호,신영주교회
343806.3896,369065.0291,경상북도 영주시 가흥동 279번지 2호,영주교육지원청
329122.3598,289598.1487,경상북도 구미시 인의동 986번지,인의푸르지오아파트 주차장
328127.0996,290226.692,경상북도 구미시 인의동 578번지,서한이다음1차아파트 주차장
345554.3612,367260.3619,경상북도 영주시 조암동 962-5 파머스마켓,농협파머스마켓
344613.2933,370083.0173,경상북도 영주시 영주동 423번지 1호,영주우체국
344866.7374,368384.0006,경상북도 영주시 휴천동 470번지,영주시청 구내식당
345864.173,371426.9867,경상북도 영주시 상망동 834번지,코아루아파트
345120.7696,370345.4125,경상북도 영주시 하망동 366번지 1호,스카이타운 아파트
345942.2533,369876.0315,경상북도 영주시 휴천동 1213번지,세영첼시빌 아파트
328202.1894,288799.2437,경상북도 구미시 진평동 1063번지,진평주공 108동앞 주차장
343620.8004,371249.8465,경상북도 영주시 가흥동 521번지 12호,영주여자중학교
321724.3714,288065.8669,경상북도 구미시 상모동 541번지,상모한신휴플러스(지하주차장)
320399.0972,290290.7181,경상북도 구미시 형곡동 331번지,정우공원맨션 14차
320216.8149,292308.5278,경상북도 구미시 송정동 1번지,푸르지오캐슬B단지 지하주차장
318858.7779,293009.191,경상북도 구미시 남통동 23번지 84호,동방주택6차
319963.8951,290801.9671,경상북도 구미시 형곡동 165번지,대성맨션
320397.579,290199.0706,경상북도 구미시 형곡동 336번지 6호,동산그린빌라
343622.7703,371524.0725,경상북도 영주시 가흥동 520번지 3호,가흥동 현대아파트
319066.6877,292867.8425,경상북도 구미시 남통동 4번지 5호,금오청구타운
320624.1713,291269.7872,경상북도 구미시 형곡동 855번지,구미차병원(장례식장)
320374.008,291367.4131,경상북도 구미시 형곡동 106번지 1호,삼우형구아파트
328202.1894,288799.2437,경상북도 구미시 진평동 1063번지,진평주공 106동앞 주차장
328251.3364,293870.5093,경상북도 구미시 옥계동 794번지 3호,양포동주민센터
320593.8475,290815.8391,경상북도 구미시 형곡동 174번지 6호,협진골든맨션
345507.1871,368348.2056,경상북도 영주시 휴천동 1777번지,남산현대아파트
342877.5516,367804.6918,경상북도 영주시 문정동 580번지,영주폴리텍VI대학 본관
343894.919,369283.0531,경상북도 영주시 가흥동 331번지 2호,현대2차강변아파트
323161.1223,290545.37,경상북도 구미시 공단동 212번지,코오롱인더스트리
328200.3457,294347.8846,경상북도 구미시 옥계동 905번지 1호,휴먼시아1단지
328201.3189,294496.0642,경상북도 구미시 옥계동 905번지,휴먼시아2단지
319363.5296,292855.2109,경상북도 구미시 원평동 77번지 60호,청산빌라
412187,326357,경상북도 영덕군 영덕읍 310번지 3호,영덕군청(본청 지하)
412603,324789,경상북도 영덕군 영덕읍 59번지 3호,영덕경찰서(본청 지하)
412883,325730,경상북도 영덕군 영덕읍 524번지,영덕교육지원청(본청 지하)
413078,325194,경상북도 영덕군 영덕읍 360번지 9호,태양맨션(지하주차장)
345911.4131,370020.0801,경상북도 영주시 휴천동 1980번지,화성라온빌아파트
344926.6225,368944.1928,경상북도 영주시 휴천동 257번지,영주역
346120.679,370817.0845,경상북도 영주시 상망동 562번지 2호,경일미래타운아파트
344759.7962,369342.4757,경상북도 영주시 휴천동 302번지 1호,벨리나웨딩홀
344691.9469,368280.7848,경상북도 영주시 휴천동 452번지,현대2차 아파트
333577.9777,342834.4286,경상북도 예천군 호명면 산합리 1401 우방아이유쉘1차,우방 아이유쉘 1차아파트 지하주차장
333091.8286,342801.3625,경상북도 예천군 호명면 산합리 1383 우방아이유쉘2차,우방 아이유쉘 2차아파트 지하주차장
333702.9486,343050.9569,경상북도 예천군 호명면 산합리 1400 경북도청신도시우방아이유쉘센텀,우방 아이유쉘 센텀아파트 지하주차장
333284.3504,342902.2176,경상북도 예천군 호명면 산합리 1398 경북도청신도시우방아이유쉘센트럴,우방 아이유쉘 센트럴아파트 지하주차장
332607.9854,342745.6756,경상북도 예천군 호명면 산합리 1381 경북도청신도시 호반베르디움2차,호반 베르디움 2차아파트 지하주차장
319591.2079,294571.9594,경상북도 구미시 도량동 659번지,두산맨션(지하주차장)
318522.6155,295255.8587,경상북도 구미시 봉곡동 391번지,현대아파트 106동지하(관리사무소앞)
320270.9608,290087.5144,경상북도 구미시 형곡동 345번지,진주맨션2차
331623.8334,342691.6836,경상북도 예천군 호명면 금능리 769 트레젠웰가,트레젠웰가 상가오피스텔 지하주차장
332053.6745,342687.5761,경상북도 예천군 호명면 산합리 1151 에비뉴시티,에비뉴시티 오피스텔 지하주차장
319600.362,293010.954,경상북도 구미시 원평동 117번지 10호,영남상가
322889.3342,292240.3826,경상북도 구미시 신평동 17번지 7호,신평2동주민센터
318378.65,292885.352,경상북도 구미시 남통동 415번지,남통e편한세상 지하주차장(후문)
322078.3105,290623.8798,경상북도 구미시 광평동 352번지 1호,동우1차 아파트
320268.8873,290159.7732,경상북도 구미시 형곡동 318번지 4호,두산맨션
322683.2984,288038.3487,경상북도 구미시 임은동 822번지,구미임은삼도뷰엔빌아파트
322997.861,288109.7437,경상북도 구미시 임은동 818번지,임은코오롱하늘채
323227.8917,288126.5805,경상북도 구미시 임은동 173번지,임은태왕아너스파크
344567.7075,370531.5762,경상북도 영주시 영주동 547번지 4호,영주기독병원
344218.8178,370292.0837,경상북도 영주시 영주동 470번지 62호,시민회관
344600.4494,370755.7965,경상북도 영주시 영주동 352번지 4호,남서울예식장
344705.6077,370867.9293,경상북도 영주시 영주동 42번지 11호,영주제일교회
322714.2887,290403.0632,경상북도 구미시 광평동 456번지 11호,쉬즈산부인과
357739.2005,239317.5374,경상북도 청도군 청도읍 656번지,성조아파트 101동 지하주차장
344215.8749,370370.9022,경상북도 영주시 영주동 513번지 3호,동진타워아파트
321878.4566,286399.0041,경상북도 구미시 오태동 761번지,대동타운1차
323868.81,290887.3901,경상북도 구미시 공단동 207번지,구미소방서
320459.6241,290779.541,경상북도 구미시 형곡동 170번지 1호,형곡삼우타운
325226.7248,289696.3536,경상북도 구미시 공단동 259번지,한화시스템(본관동)
318292.1007,294377.3579,경상북도 구미시 봉곡동 5번지,현진에버빌 3주차장
